index;label;variable;completion rate;file;count;mean;std;min;25%;50%;75%;max;unique;top;freq;type;nombre de type var
labels_categories;labels;categories;;;;;;;;;;;;;;;
template_temp;template;temp;;;;;;;;;;;;;;;
team_empl_h_struc;team;empl_h_struc;100.0;team;3449.0;31.714120034792693;1203.6522112417404;0.0;2.0;4.0;6.0;70272.0;;;;<class 'int'>;1
team_empl_f_struc;team;empl_f_struc;100.0;team;3449.0;28.098579298347346;622.8517093821175;0.0;2.0;3.0;5.0;30000.0;;;;<class 'int'>;1
url_descriptions_formal_prez_doc_struc;url_descriptions_formal;prez_doc_struc;53.58074804291099;url_descriptions_formal;1848;;;;;;;;1847;http://digital-africa.co/uploads/formidable/2/Company-Profile-17.pdf;2;<class 'str'>/<class 'float'>;2
url_descriptions_formal_logo_struc;url_descriptions_formal;logo_struc;94.89707161496086;url_descriptions_formal;3273;;;;;;;;3272;http://digital-africa.co/uploads/formidable/2/Logo-11.png;2;<class 'str'>/<class 'float'>;2
url_descriptions_formal_video_struc;url_descriptions_formal;video_struc;36.53232821107567;url_descriptions_formal;1260;;;;;;;;1250;https://www.youtube.com/watch?v=esTPbb29HqQ;3;<class 'str'>/<class 'float'>;2
descriptions_raw_nom_struc;descriptions_raw;nom_struc;100.0;descriptions_raw;3449;;;;;;;;3404;Entreprise individuelle;5;<class 'str'>;1
descriptions_raw_prez_struc;descriptions_raw;prez_struc;100.0;descriptions_raw;3449;;;;;;;;3442;"SMART CARD est une startup malienne évoluant dans le domaine de la sécurité des engins (spécialement les motos qui est le principal moyen de déplacement dans les pays d’Afrique de l’ouest) en se basant sur un procède innovant et unique qui utilisant un mini traceur smart GPS afin de prémunir les utilisateurs des récurrents cas de vol. 
Le système consiste à prendre de contrôle de l’engin même à distance (localisation avec précision, coupure du moteur à distance, etc.). L’innovation vient du concept de la carte à puce qui est une offre unique dans ce domaine. Le partenariat avec l’usine TOPTEN TRACKER GPS, leader sur le marché des traceurs GPS a permis de mettre en place un traceur GPS miniature (smart card) conçu spécialement pour les motos.
Elle a actuellement dépassé les phases de prototypage et de test, déclenchant ainsi les étapes liées à l’obtention d’un brevet pour la propriété intellectuelle ainsi qu’une licence de production et de commercialisation d’où l’industrialisation du processus de fabrication.";2;<class 'str'>;1
descriptions_raw_prez_produit_struc;descriptions_raw;prez_produit_struc;99.94201217744273;descriptions_raw;3447;;;;;;;;3441;Distributeur d'acier, de ciment et adjuvants ainsi que de fibre optique.;2;<class 'str'>/<class 'float'>;2
descriptions_raw_prez_marche_struc;descriptions_raw;prez_marche_struc;100.0;descriptions_raw;3449;;;;;;;;3436;National et international;3;<class 'str'>;1
descriptions_raw_prez_zone_struc;descriptions_raw;prez_zone_struc;90.48999710060887;descriptions_raw;3121;;;;;;;;2945;Afrique;19;<class 'str'>/<class 'float'>;2
descriptions_raw_prez_objectif_struc;descriptions_raw;prez_objectif_struc;99.97100608872137;descriptions_raw;3448;;;;;;;;3435;5ans;5;<class 'str'>/<class 'float'>;2
descriptions_raw_prez_innovante_struc;descriptions_raw;prez_innovante_struc;100.0;descriptions_raw;3449;;;;;;;;3445;"Social Lender uses its own proprietary algorithm to perform a social audit of the users’ online, on mobile, on social media and other related platforms and give a Social Reputation Score to each user. Users can borrow from banks and other <U+FB01>nancial institutions based on their Social Reputation Score. Social Reputation Score can be improved by providing more information e.g. social reputation score is improved by the introduction of Social Guarantor who provides electronic personal guarantee on the personality of the borrower or the transaction

Social Lender delivers cash guaranteed by social reputation in most cases within 10 minutes. In three easy steps, users are able to get quick cash from Social Lender. First, users access Social Lender’s platform using any of the following channels; Web, SMS, USSD, Mobile App (Partner App Add-On or Dedicated Apps), Partner Bank ATMs, APIs or Pay with Social Lender (E-commerce Checkout). Immediately, a social audit is conducted on the user (with user's permission) and the user obtains a social reputation score based on their digital fingerprint. Second, the user applies for cash using any of the available channels. Third, funds are approved based on partner specific business rules and funds are disbursed to the users' verified Account (Bank Account or Mobile Money Account) usually within 10 minutes.";2;<class 'str'>;1
descriptions_raw_prez_duplicable_struc;descriptions_raw;prez_duplicable_struc;99.79704262104958;descriptions_raw;3442;;;;;;;;3431;.;3;<class 'str'>/<class 'float'>;2
descriptions_raw_prez_durable_struc;descriptions_raw;prez_durable_struc;99.94201217744273;descriptions_raw;3447;;;;;;;;3439;As aforementioned, our solution can create greater inclusion in the long-term digital economy. People from anywhere, be it African or French cities, can make payment right from their web-enabled device in a simple click. Various LSMs and locations can transact, reducing exclusion and allowing others to advance into from growing industries/innovations such as eCommerce, eBilling, etc.;2;<class 'str'>/<class 'float'>;2
descriptions_traduction_nom_struc;descriptions_traduction;nom_struc;100.0;descriptions_traduction;3449;;;;;;;;3404;Entreprise individuelle;5;<class 'str'>;1
